                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.20000E+02;    0.25000E+00;    0.30000E+02;    0.20000E+01;    0.28500E+01;    0.17110E+02;    0.80000E+02;    0.90000E+00;    0.25000E+00;    0.20000E+02;    0.56250E+05;    0.25300E+02;    0.40700E+02;    0.90000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00;normal
    0.19917E+02;    0.24830E+00;    0.29955E+02;    0.19843E+01;    0.28376E+01;    0.17136E+02;    0.80009E+02;    0.88933E+00;    0.25002E+00;    0.20118E+02;    0.56057E+05;    0.25116E+02;    0.40575E+02;    0.90113E+00;   -0.21736E-01;   -0.58216E-02;    0.51880E-03;   -0.44243E+00;normal
    0.19950E+02;    0.25164E+00;    0.30159E+02;    0.19936E+01;    0.28215E+01;    0.17202E+02;    0.80063E+02;    0.90409E+00;    0.24696E+00;    0.19866E+02;    0.55607E+05;    0.25507E+02;    0.40597E+02;    0.90034E+00;   -0.74945E-02;    0.12029E-01;   -0.43102E-02;   -0.80057E-02;normal
    0.19895E+02;    0.25389E+00;    0.30033E+02;    0.19898E+01;    0.28420E+01;    0.17118E+02;    0.79557E+02;    0.90160E+00;    0.25295E+00;    0.20099E+02;    0.55842E+05;    0.25723E+02;    0.40523E+02;    0.90516E+00;   -0.12922E-01;    0.93986E-02;    0.72634E-03;   -0.30654E+00;normal
    0.20172E+02;    0.24966E+00;    0.30047E+02;    0.19810E+01;    0.28506E+01;    0.17179E+02;    0.79625E+02;    0.90545E+00;    0.24964E+00;    0.19957E+02;    0.56723E+05;    0.25521E+02;    0.40612E+02;    0.90650E+00;   -0.25803E-01;    0.41295E-02;   -0.16640E-02;   -0.37618E+00;normal
    0.20020E+02;    0.25098E+00;    0.29845E+02;    0.19871E+01;    0.28527E+01;    0.17049E+02;    0.79870E+02;    0.90340E+00;    0.25394E+00;    0.20325E+02;    0.56151E+05;    0.25235E+02;    0.40265E+02;    0.89164E+00;   -0.16834E-01;    0.14800E-01;    0.38988E-02;   -0.58146E+00;normal
    0.20095E+02;    0.25120E+00;    0.29844E+02;    0.19972E+01;    0.28390E+01;    0.16989E+02;    0.80138E+02;    0.90465E+00;    0.24453E+00;    0.19821E+02;    0.55822E+05;    0.25476E+02;    0.40539E+02;    0.89770E+00;   -0.19343E-02;    0.12240E-01;   -0.66119E-02;   -0.50205E+00;normal
    0.20077E+02;    0.24903E+00;    0.30234E+02;    0.20073E+01;    0.28362E+01;    0.17131E+02;    0.80116E+02;    0.91416E+00;    0.25172E+00;    0.20037E+02;    0.56178E+05;    0.25123E+02;    0.40595E+02;    0.89473E+00;    0.12783E-01;    0.17576E-01;    0.21350E-02;    0.20568E+00;normal
    0.20093E+02;    0.24694E+00;    0.30122E+02;    0.19984E+01;    0.28712E+01;    0.17131E+02;    0.79909E+02;    0.89363E+00;    0.24781E+00;    0.19732E+02;    0.55600E+05;    0.25039E+02;    0.40813E+02;    0.90569E+00;   -0.37090E-03;   -0.34409E-02;   -0.13794E-02;    0.40672E-01;normal
    0.20002E+02;    0.24993E+00;    0.29976E+02;    0.19968E+01;    0.28536E+01;    0.16872E+02;    0.80211E+02;    0.89951E+00;    0.24986E+00;    0.19954E+02;    0.57034E+05;    0.24833E+02;    0.41072E+02;    0.89901E+00;   -0.22300E-02;   -0.15182E-01;    0.16081E-02;   -0.81516E+00;normal
    0.20162E+02;    0.25139E+00;    0.30066E+02;    0.19973E+01;    0.28036E+01;    0.17026E+02;    0.79949E+02;    0.90097E+00;    0.25068E+00;    0.20160E+02;    0.56504E+05;    0.25401E+02;    0.40364E+02;    0.90521E+00;   -0.15304E-02;    0.72516E-02;   -0.12589E-03;   -0.50066E+00;normal
